sector,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2024-03-01
Accommodation & Food Services Activities.,,6.2,7.1,-3.3,8.0,-42.1,-20.0,293.2,-22.0,-20.7
Administrative & Support Service Activities.,,-5.9,18.8,-3.5,-3.6,-15.1,11.1,66.0,-14.5,-11.3
"Arts, Entertainment & Recreation.",,5.9,-5.6,29.4,0.0,-31.8,-40.0,333.3,-30.8,-33.3
Construction,,-15.4,22.7,-14.8,17.4,-22.2,33.3,75.0,-16.3,-12.2
Education.,,-3.8,6.0,-13.2,10.9,-17.6,2.4,69.8,-1.4,-16.7
"Electricity, Gas, Steam & Air Con Supply",,0.0,0.0,-25.0,33.3,-25.0,100.0,-16.7,20.0,-16.7
Financial & Insurance Activities.,,-21.1,13.3,14.7,-12.8,-26.5,8.0,92.6,-21.2,-14.6
Human Health & Social Work.,,9.1,3.3,2.4,7.1,-5.1,3.1,58.6,-8.5,-17.1
Information & Communication.,,20.0,-2.4,9.8,2.2,-32.6,35.5,85.7,-34.6,-25.5
Manufacturing,,-4.3,22.2,9.1,-5.0,-28.1,39.0,66.7,-21.1,-18.7
Mining & Quarrying,,0.0,0.0,0.0,100.0,-50.0,0.0,100.0,0.0,0.0
Other Service Activities.,,16.7,-4.8,10.0,0.0,-40.9,-15.4,118.2,0.0,-25.0
"Professional, Scientific & Technical Activities.",,8.1,0.0,13.4,5.3,-30.0,21.4,91.2,-15.4,-20.0
Public Administration & Defence.,,-16.7,60.0,25.0,5.0,0.0,14.3,54.2,8.1,-7.5
Real Estate Activities.,,-27.3,62.5,-23.1,20.0,0.0,-8.3,54.5,-29.4,33.3
Transport & Storage,,-6.1,0.0,35.5,0.0,-31.0,-13.8,132.0,-25.9,-20.9
"Water Supply, Sewarage, Waste Management etc.",,50.0,33.3,0.0,0.0,-25.0,33.3,125.0,-22.2,-14.3
"Wholesale & Retail, Repair of motor vehicles.",,7.7,-2.9,-4.4,3.1,-26.9,-17.3,103.7,-15.8,-16.5
