date,E12000001,E12000002,E12000003,unix_timestamp,decimal_date
2004-12-01,27.6,25.9,24.4,1101859200,2004.92
2005-03-01,27.3,25.8,24.5,1109635200,2005.16
2005-06-01,27,25.7,24.3,1117580400,2005.41
2005-09-01,27,25.6,24.1,1125529200,2005.67
2005-12-01,26.9,25.5,24.1,1133395200,2005.92
2006-03-01,26.8,25.6,24.2,1141171200,2006.16
2006-06-01,26.6,25.6,23.8,1149116400,2006.41
2006-09-01,26.3,25.4,24,1157065200,2006.67
2006-12-01,26,25.4,23.9,1164931200,2006.91
2007-03-01,25.8,25.3,24,1172707200,2007.16
2007-06-01,25.5,25.1,24.4,1180652400,2007.41
2007-09-01,25.7,25.5,24.4,1188601200,2007.66
2007-12-01,25.9,25.3,24.5,1196467200,2007.91
2008-03-01,25.9,25.3,24.4,1204329600,2008.16
2008-06-01,26.4,25.5,24.5,1212274800,2008.41
2008-09-01,26,25.5,24.1,1220223600,2008.67
2008-12-01,25.8,25.9,24.3,1228089600,2008.92
2009-03-01,25.7,25.7,24.1,1235865600,2009.16
2009-06-01,25.8,25.4,24,1243810800,2009.41
2009-09-01,26.2,25.3,24.4,1251759600,2009.67
2009-12-01,26.7,25.4,24.7,1259625600,2009.92
2010-03-01,27,25.6,24.7,1267401600,2010.16
2010-06-01,26.4,25.6,24.4,1275346800,2010.41
2010-09-01,26.2,25.3,25.1,1283295600,2010.67
2010-12-01,26.6,25.1,24.9,1291161600,2010.91
2011-03-01,26.6,25.5,25.1,1298937600,2011.16
2011-06-01,27,25.4,25.5,1306882800,2011.41
2011-09-01,27.5,25.7,25.1,1314831600,2011.66
2011-12-01,27.4,25.3,25.2,1322697600,2011.91
2012-03-01,26.9,25.2,25.2,1330560000,2012.16
2012-06-01,26.4,24.8,24.7,1338505200,2012.41
2012-09-01,26.1,24.8,24.3,1346454000,2012.67
2012-12-01,26,24.7,23.9,1354320000,2012.92
2013-03-01,26.2,24.5,23.2,1362096000,2013.16
2013-06-01,26.1,24.7,23.3,1370041200,2013.41
2013-09-01,26.3,24.7,23.4,1377990000,2013.67
2013-12-01,26.2,25.1,23.3,1385856000,2013.92
2014-03-01,25.6,25.1,23.4,1393632000,2014.16
2014-06-01,25.3,25.3,23.5,1401577200,2014.41
2014-09-01,25.3,25.4,23.5,1409526000,2014.67
2014-12-01,25.1,25.3,23.7,1417392000,2014.91
2015-03-01,25.4,25.3,23.5,1425168000,2015.16
2015-06-01,25.4,25.4,23.1,1433113200,2015.41
2015-09-01,25.1,24.9,22.8,1441062000,2015.66
2015-12-01,24.8,24.7,22.8,1448928000,2015.91
2016-03-01,24.7,24.5,23,1456790400,2016.16
2016-06-01,24.7,24.3,23.2,1464735600,2016.41
2016-09-01,24.9,24.4,23.2,1472684400,2016.67
2016-12-01,24.5,24.5,23.5,1480550400,2016.92
2017-03-01,24.6,24.3,23.3,1488326400,2017.16
2017-06-01,24.8,24,23.1,1496271600,2017.41
2017-09-01,24.6,23.8,23.2,1504220400,2017.67
2017-12-01,24.6,23.5,22.6,1512086400,2017.92
2018-03-01,24.8,23.2,22.7,1519862400,2018.16
2018-06-01,25.3,23.3,22.8,1527807600,2018.41
2018-09-01,25.2,23,22.9,1535756400,2018.67
2018-12-01,24.7,23.1,22.9,1543622400,2018.91
2019-03-01,24.5,23.1,22.7,1551398400,2019.16
2019-06-01,24.2,22.9,22.6,1559343600,2019.41
2019-09-01,24.3,22.6,22.7,1567292400,2019.66
2019-12-01,25,22.3,22.8,1575158400,2019.91
2020-03-01,24.6,21.9,22.8,1583020800,2020.16
2020-06-01,24.3,22.1,22.9,1590966000,2020.41
2020-09-01,23.8,22.6,22.3,1598914800,2020.67
2020-12-01,23.6,22.6,22.2,1606780800,2020.92
2021-03-01,24,23.1,22.5,1614556800,2021.16
2021-06-01,24.3,23,22.5,1622502000,2021.41
2021-09-01,24.9,23,22.9,1630450800,2021.67
2021-12-01,25.3,23.5,22.7,1638316800,2021.92
2022-03-01,25.6,23.4,22.2,1646092800,2022.16
2022-06-01,25.4,23.4,22.2,1654038000,2022.41
2022-09-01,25.2,23.7,22.6,1661986800,2022.67
2022-12-01,26,23.3,22.6,1669852800,2022.91
2023-03-01,26,23.5,22.8,1677628800,2023.16
2023-06-01,25.6,23.2,23,1685574000,2023.41
2023-09-01,25.3,22.8,22.6,1693522800,2023.66
2023-12-01,24.2,23.3,23.2,1701388800,2023.91
