date,E12000001,E12000002,E12000003,unix_timestamp
2004-12-01,21.9,23.3,22.6,1101859200
2005-12-01,21.4,24.1,22.3,1133395200
2006-12-01,22.8,24.9,22.8,1164931200
2007-12-01,24.3,25.4,23.9,1196467200
2008-12-01,23.5,25.3,24.9,1228089600
2009-12-01,24,27.1,26.5,1259625600
2010-12-01,25.5,28.7,26.5,1291161600
2011-12-01,26.4,28.8,27.2,1322697600
2012-12-01,26.8,30.2,29.4,1354320000
2013-12-01,27.9,30.9,29.8,1385856000
2014-12-01,28.4,30.9,29.8,1417392000
2015-12-01,30.7,32.6,30.6,1448928000
2016-12-01,31.4,33.9,31.3,1480550400
2017-12-01,31.7,34.4,33,1512086400
2018-12-01,31.1,35.5,33.3,1543622400
2019-12-01,31.9,36.1,34.2,1575158400
2020-12-01,34.4,38.7,37,1606780800
2021-12-01,34.5,38.6,38,1638316800
