LAD23NM,Count,Location quotient,LAD23CD
Leeds,41452821,3.16,E08000035
Liverpool,40996261,16.47,E08000012
County Durham,31936274,32.55,E06000047
Manchester,29829099,4.16,E08000003
Bradford,27093056,5.61,E08000032
Wirral,23227379,7.02,E08000015
North Yorkshire,22163692,6.36,E06000065
Oldham,19835978,36.74,E08000004
Wigan,17486489,28.15,E08000010
Newcastle upon Tyne,15276340,5.98,E08000021
North East Lincolnshire,15201949,25.14,E06000012
Cheshire East,14704618,4.66,E06000049
Stockport,14492416,8.13,E08000007
Sheffield,14162913,7.98,E08000019
Salford,13544265,5.15,E08000006
Blackburn with Darwen,13001425,3.42,E06000008
North Tyneside,12976215,15.14,E08000022
Knowsley,12226199,32.5,E08000011
West Lancashire,12058274,22.83,E07000127
Warrington,10874820,3.22,E06000007
Kirklees,10604647,12.63,E08000034
Gateshead,10102668,9.81,E08000037
Trafford,10053700,2.68,E08000009
South Tyneside,9643547,48.92,E08000023
Sunderland,9628176,13.21,E08000024
Barnsley,9537785,19.62,E08000016
Bolton,9520743,3.47,E08000001
Doncaster,9285977,7.26,E08000017
Wakefield,9284913,7.06,E08000036
Lancaster,8760491,39.28,E07000121
Middlesbrough,8462890,20.3,E06000002
Burnley,8393807,23.97,E07000117
Northumberland,8182749,17.13,E06000057
Sefton,8082723,18.54,E08000014
Cumberland,8067933,10.72,E06000063
"Kingston upon Hull, City of",7921086,7.98,E06000010
Westmorland and Furness,7772415,16.3,E06000064
Cheshire West and Chester,7669601,3.57,E06000050
Stockton-on-Tees,7539655,11.54,E06000004
Hartlepool,7415447,81.85,E06000001
York,6723913,2.96,E06000014
Rochdale,5809472,10.15,E08000005
Tameside,5707797,14.0,E08000008
Hyndburn,5487369,23.06,E07000120
Rotherham,5364171,9.94,E08000018
Halton,5351747,4.41,E06000006
Bury,5209648,4.28,E08000002
North Lincolnshire,4946394,6.8,E06000013
Blackpool,4933251,31.01,E06000009
St. Helens,4879536,14.38,E08000013
Calderdale,4766403,6.03,E08000033
Ribble Valley,4328700,37.7,E07000124
Preston,3679959,4.33,E07000123
Redcar and Cleveland,3286045,20.51,E06000003
East Riding of Yorkshire,3225672,1.57,E06000011
Rossendale,2242520,18.75,E07000125
Chorley,1654301,4.31,E07000118
South Ribble,1586971,4.66,E07000126
Wyre,1078479,5.51,E07000128
Darlington,1001706,2.63,E06000005
Fylde,980728,2.93,E07000119
Pendle,818917,3.35,E07000122
